,university,relationships,break ups,divorce,wedding,death,family,friendship
Document 416,False,False,True,False,False,False,False,False
Document 417,False,True,False,True,False,False,False,False
Document 418,False,False,False,False,False,True,False,True
Document 419,False,False,False,True,False,True,False,False
Document 420,False,False,True,False,False,True,False,False
Document 421,False,False,False,True,False,False,False,True
Document 422,False,False,True,False,False,True,False,False
Document 423,False,False,True,True,False,False,False,True
Document 424,False,True,False,False,False,True,False,True
Document 425,False,True,True,True,False,False,False,False
Document 426,True,False,False,False,False,False,False,False
Document 427,False,False,False,False,True,False,False,False
Document 428,False,False,False,False,False,True,True,False
Document 429,True,False,False,False,False,True,False,False
Document 430,False,False,False,False,False,False,False,False
Document 431,False,True,False,False,False,True,False,False
Document 432,False,False,True,False,False,False,False,False
Document 433,False,False,True,False,False,True,False,False
Document 434,False,False,False,True,False,False,False,True
Document 435,True,False,False,False,True,False,False,True
Document 436,False,False,False,False,False,True,False,False
Document 437,False,False,False,False,False,False,True,False
Document 438,True,True,False,False,False,False,False,False
Document 439,True,True,False,False,False,False,False,True
Document 440,False,True,False,False,True,False,False,False
Document 441,False,False,False,True,False,False,False,True
Document 442,False,False,True,False,False,False,False,False
Document 443,False,False,True,True,False,True,False,False
Document 444,True,True,False,False,False,False,False,True
Document 445,False,True,True,False,False,False,False,False
Document 446,False,False,False,True,False,False,False,False
Document 447,False,False,False,False,False,True,False,True
Document 448,False,False,False,True,False,False,False,False
Document 449,False,True,False,False,False,False,False,False
Document 450,False,True,False,False,False,True,False,False
Document 451,False,False,True,True,False,False,False,False
Document 452,False,True,False,True,False,True,True,False
Document 453,False,False,False,False,True,False,True,False
Document 454,False,False,False,True,False,False,False,False
Document 455,False,True,False,False,False,False,False,True
Document 456,False,True,False,False,False,False,True,False
Document 457,False,False,False,False,False,True,False,True
Document 458,False,False,False,True,False,False,True,False
Document 459,False,False,False,False,True,False,False,True
Document 460,True,False,False,False,False,False,False,False
Document 461,False,True,False,False,False,False,True,False
Document 462,False,False,False,False,True,False,False,True
Document 463,True,False,False,False,True,False,False,True
Document 464,False,False,False,False,True,False,True,True
Document 465,False,True,False,False,False,False,False,True
Document 466,False,False,True,False,True,True,False,False
Document 467,False,False,False,False,False,False,False,True
Document 468,True,False,False,False,True,False,False,True
Document 469,False,False,False,False,True,False,False,True
Document 470,False,False,False,False,False,False,False,True
Document 471,False,False,False,False,False,False,True,False
Document 472,False,False,False,False,False,False,False,True
Document 473,False,False,False,False,False,True,False,False
Document 474,False,False,False,False,False,False,False,True
Document 475,False,False,False,False,False,False,False,True
Document 476,False,True,False,False,True,False,True,False
Document 477,False,False,False,False,True,False,True,False
Document 478,False,False,True,True,False,False,False,False
Document 479,False,False,False,False,False,False,False,True
Document 480,True,False,False,False,False,False,False,True
Document 481,False,True,False,False,False,False,False,False
Document 482,False,False,False,False,False,False,False,True
Document 483,False,False,True,False,False,False,False,True
Document 484,False,True,False,False,False,False,False,True
Document 485,False,False,False,False,False,False,False,True
Document 486,False,False,False,False,False,False,False,True
Document 487,False,False,False,True,False,False,True,False
Document 488,False,False,False,True,False,False,False,True
Document 489,True,True,False,False,True,False,False,False
Document 490,False,False,True,True,False,False,False,False
Document 491,False,False,False,True,False,False,False,False
Document 492,False,False,False,False,False,True,False,True
Document 493,False,False,True,True,False,False,False,False
Document 494,True,True,False,False,False,False,False,True
