,university,relationships,break ups,divorce,wedding,death,family,friendship,Dominant_Topic,Topic_Probability
Document 428,0.3,9.0,16.8,16.6,0.7,31.1,20.3,5.2,Topic 5,31.1
Document 429,36.6,4.4,2.4,9.7,0.2,23.7,3.2,19.8,Topic 0,36.6
Document 430,13.4,19.5,9.9,14.2,2.3,8.9,13.0,18.7,Topic 1,19.5
Document 431,0.4,64.6,0.3,0.5,5.1,24.0,5.1,0.0,Topic 1,64.6
Document 432,0.2,4.9,68.5,0.3,8.8,1.4,0.9,15.1,Topic 2,68.5
Document 433,4.6,19.4,29.4,4.6,1.1,31.4,4.8,4.6,Topic 5,31.4
Document 434,7.2,12.8,3.9,29.1,16.4,2.7,0.5,27.4,Topic 3,29.1
Document 435,23.1,6.0,0.5,7.1,23.0,14.0,3.2,23.1,Topic 0,23.1
Document 436,4.7,15.0,6.2,0.5,11.0,47.1,6.0,9.5,Topic 5,47.1
Document 437,0.6,4.3,0.1,15.9,18.1,12.7,48.2,0.1,Topic 6,48.2
Document 438,33.9,22.1,0.3,8.1,17.7,0.4,0.3,17.1,Topic 0,33.9
Document 439,26.7,20.1,9.9,0.3,5.0,5.5,5.8,26.8,Topic 7,26.8
Document 440,10.4,24.7,14.4,8.7,25.9,0.1,10.1,5.7,Topic 4,25.9
Document 441,9.1,6.0,5.2,25.0,5.1,2.1,4.8,42.8,Topic 7,42.8
Document 442,4.1,9.7,45.3,5.4,6.5,11.8,0.2,16.9,Topic 2,45.3
Document 443,2.7,9.5,33.6,22.2,9.0,22.7,0.2,0.1,Topic 2,33.6
Document 444,21.2,20.5,4.4,4.3,7.8,2.6,1.7,37.5,Topic 7,37.5
Document 445,1.9,40.9,22.2,0.6,8.9,13.8,7.2,4.5,Topic 1,40.9
Document 446,0.9,5.8,14.7,46.9,0.5,13.1,2.3,15.7,Topic 3,46.9
Document 447,4.7,0.1,2.2,3.8,2.6,60.5,1.8,24.3,Topic 5,60.5
Document 448,3.1,0.4,13.9,28.4,16.0,13.3,9.8,15.2,Topic 3,28.4
Document 449,1.4,38.9,11.3,0.1,13.6,8.5,7.3,19.0,Topic 1,38.9
Document 450,6.0,47.4,2.5,0.8,4.4,22.0,10.1,6.8,Topic 1,47.4
Document 451,14.6,9.2,22.7,23.2,1.1,3.2,18.3,7.8,Topic 3,23.2
Document 452,0.1,20.3,0.1,21.6,6.4,29.6,21.4,0.5,Topic 5,29.6
Document 453,3.8,10.5,0.2,0.6,20.4,5.5,54.8,4.2,Topic 6,54.8
