,university,relationships,break ups,divorce,wedding,death,family,friendship,Dominant_Topic,Topic_Probability
Document 940,19.7,48.9,0.4,0.5,2.0,6.8,6.8,15.0,Topic 1,48.9
Document 941,11.3,0.5,65.2,0.2,6.8,5.0,0.0,11.1,Topic 2,65.2
Document 942,0.0,0.1,0.1,3.0,11.0,56.4,0.1,29.4,Topic 5,56.4
Document 943,0.2,47.0,0.2,0.1,25.0,0.1,0.0,27.3,Topic 1,47.0
Document 944,0.2,0.1,27.7,0.0,11.7,34.4,0.0,25.9,Topic 5,34.4
Document 945,27.5,10.4,16.5,26.6,0.1,0.2,0.3,18.4,Topic 0,27.5
Document 946,2.7,0.0,8.8,7.2,12.1,12.0,18.2,39.0,Topic 7,39.0
Document 947,20.0,0.0,0.0,27.5,0.0,0.0,0.3,52.1,Topic 7,52.1
Document 948,30.2,1.6,9.4,0.1,0.1,0.0,27.6,31.1,Topic 7,31.1
Document 949,2.2,0.2,20.3,0.2,13.4,32.1,0.2,31.2,Topic 5,32.1
Document 950,6.4,1.7,14.8,0.0,0.2,11.4,0.0,65.4,Topic 7,65.4
Document 951,19.0,10.7,4.9,26.3,0.0,4.7,18.9,15.5,Topic 3,26.3
Document 952,23.1,4.6,1.2,0.0,24.8,7.4,0.1,38.8,Topic 7,38.8
Document 953,27.7,2.3,7.9,3.2,7.8,7.9,28.5,14.5,Topic 6,28.5
Document 954,0.2,0.0,23.6,0.0,4.8,59.9,0.0,11.3,Topic 5,59.9
Document 955,1.6,0.0,45.2,0.0,0.1,0.1,0.0,53.0,Topic 7,53.0
Document 956,2.7,0.0,0.0,1.3,8.1,31.1,19.4,37.2,Topic 7,37.2
Document 957,31.6,0.0,10.0,0.0,0.0,0.0,0.0,58.2,Topic 7,58.2
Document 958,14.3,15.3,6.6,13.9,0.1,5.1,3.6,41.2,Topic 7,41.2
Document 959,9.6,0.0,0.0,0.1,5.7,37.6,8.3,38.7,Topic 7,38.7
Document 960,12.7,0.0,3.9,23.2,0.1,0.0,12.4,47.7,Topic 7,47.7
Document 961,25.1,0.0,2.4,0.6,9.6,0.2,0.1,61.9,Topic 7,61.9
Document 962,11.2,18.2,13.1,7.1,0.5,0.3,0.3,49.3,Topic 7,49.3
Document 963,50.8,1.2,0.0,17.9,5.1,0.4,8.2,16.3,Topic 0,50.8
Document 964,3.3,0.0,42.1,0.1,7.1,12.3,0.3,34.9,Topic 2,42.1
Document 965,16.0,0.0,42.4,5.2,0.0,20.9,0.1,15.3,Topic 2,42.4
Document 966,28.7,0.1,0.0,8.9,0.0,5.1,26.7,30.4,Topic 7,30.4
Document 967,8.5,0.0,34.1,0.1,0.1,24.1,0.0,33.1,Topic 2,34.1
Document 968,0.0,72.9,0.1,1.4,6.4,0.6,18.4,0.2,Topic 1,72.9
Document 969,1.7,0.5,0.1,0.0,5.1,1.8,0.6,90.2,Topic 7,90.2
Document 970,13.6,0.0,0.0,59.4,0.0,0.3,26.6,0.1,Topic 3,59.4
Document 971,11.1,4.8,12.4,11.9,0.1,0.3,0.1,59.4,Topic 7,59.4
Document 972,0.1,0.0,0.1,62.8,0.0,0.2,0.1,36.7,Topic 3,62.8
Document 973,17.6,0.0,0.3,0.0,0.5,78.5,2.7,0.4,Topic 5,78.5
Document 974,0.0,0.0,34.4,6.6,14.5,7.6,0.1,36.7,Topic 7,36.7
Document 975,13.4,0.0,12.3,15.1,0.0,13.7,0.1,45.5,Topic 7,45.5
Document 976,0.2,19.8,3.1,9.3,1.0,29.9,12.5,24.3,Topic 5,29.9
Document 977,0.0,0.0,36.7,4.2,8.4,0.0,2.5,48.1,Topic 7,48.1
Document 978,1.4,0.0,7.8,0.0,0.8,0.2,0.0,89.7,Topic 7,89.7
Document 979,0.1,5.1,37.4,0.1,3.4,12.0,2.3,39.6,Topic 7,39.6
Document 980,0.7,0.1,19.0,7.4,0.1,22.6,2.2,47.8,Topic 7,47.8
Document 981,37.3,8.1,0.0,17.6,2.0,3.3,0.0,31.7,Topic 0,37.3
Document 982,6.0,17.1,2.1,16.0,22.9,14.9,5.2,15.7,Topic 4,22.9
Document 983,6.4,37.4,0.0,4.8,22.1,0.5,4.3,24.5,Topic 1,37.4
Document 984,0.0,0.4,36.2,22.5,0.0,9.8,12.7,18.3,Topic 2,36.2
Document 985,0.1,22.1,2.4,10.8,6.8,0.2,8.7,48.9,Topic 7,48.9
Document 986,0.1,24.4,6.7,0.1,0.0,0.0,1.4,67.3,Topic 7,67.3
Document 987,0.1,11.8,15.9,9.5,18.1,0.0,27.6,17.0,Topic 6,27.6
Document 988,9.7,0.7,26.5,18.8,0.8,0.4,0.1,43.0,Topic 7,43.0
Document 989,0.1,9.9,0.1,4.0,0.1,16.9,43.8,25.0,Topic 6,43.8
Document 990,0.1,0.0,37.9,0.0,11.2,6.9,0.0,43.8,Topic 7,43.8
Document 991,53.9,0.1,0.0,0.0,1.3,1.8,24.1,18.8,Topic 0,53.9
Document 992,57.6,1.6,4.8,4.6,4.1,0.0,3.7,23.8,Topic 0,57.6
Document 993,27.2,3.9,9.1,13.1,0.0,7.0,0.6,39.0,Topic 7,39.0
Document 994,0.1,28.5,0.0,20.0,0.0,0.0,0.0,51.3,Topic 7,51.3
Document 995,25.2,0.1,8.3,9.4,0.0,1.8,11.2,44.1,Topic 7,44.1
Document 996,0.0,62.1,8.9,2.8,0.0,3.8,18.7,3.7,Topic 1,62.1
Document 997,85.9,0.0,0.0,2.7,11.0,0.0,0.2,0.0,Topic 0,85.9
Document 998,0.1,3.5,0.1,2.0,0.2,7.2,48.1,39.0,Topic 6,48.1
Document 999,8.6,0.0,11.3,8.1,3.6,29.1,19.4,19.8,Topic 5,29.1
